# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
33500 -0.280818 0.456064
33600 -0.528257 -1.19848
33700 0.846076 0.883052
33800 0.533967 0.259639
33900 0.112827 0.0592484
34000 1.29397 -1.24109
34100 -0.39332 -1.50344
34200 -2.46588 0.0326483
34300 1.32654 -1.01946
34400 1.28018 -0.52272
34500 -0.247456 1.73452
34600 -0.805383 -0.225109
34700 -1.17405 -0.377728
34800 0.919191 1.43223
34900 0.398741 -1.38951
35000 0.306573 0.647367
35100 -0.650511 0.355834
35200 0.15248 0.0213154
35300 -0.761279 -0.86506
35400 0.233859 -1.29473
35500 0.66953 -0.300313
35600 2.28037 0.360647
35700 0.669061 0.174993
35800 0.226259 -0.0769978
35900 -0.403103 -0.587735
36000 -0.0408822 0.803916
36100 -0.998263 0.693474
36200 -0.0608229 0.242711
36300 0.787955 -0.667843
36400 -0.610734 -0.511844
36500 -1.06983 1.41789
36600 0.538679 -0.967758
36700 0.65983 0.341058
36800 0.457725 1.18105
36900 1.26947 -2.17706
37000 -0.0499689 -1.21894
37100 -0.356549 -0.434483
37200 0.522203 -0.673574
37300 -0.0115401 0.452158
37400 0.155714 0.592246
37500 -0.684321 -1.13685
37600 -1.25978 0.0351442
37700 0.624071 1.16898
37800 1.11475 -0.0614531
37900 0.254429 0.395705
38000 -1.54906 0.72558
38100 -0.421556 -1.40416
38200 0.255985 0.679768
38300 -0.184997 -0.384878
38400 0.56815 -1.12345
38500 1.71273 -0.786051
38600 1.16534 0.0563647
38700 -0.665669 -0.788742
38800 -0.20123 1.37972
38900 0.379184 -0.151746
39000 1.03291 0.283229
39100 0.367135 -1.02038
39200 -2.03496 -0.294177
39300 0.803966 0.570685
39400 -0.823229 0.937286
39500 0.442597 1.22645
39600 -0.603298 -0.138688
39700 0.327235 -0.760375
39800 0.172002 -0.583153
39900 1.52971 -1.39947
40000 1.06835 -0.234984
40100 -0.495811 0.344874
40200 -1.16694 -0.799225
40300 0.0793998 -0.977465
40400 0.271211 0.4813
40500 1.6105 0.910391
40600 0.188551 -1.28844
40700 -0.627154 0.231214
40800 -0.717818 0.527598
40900 -1.32749 0.457333
41000 -0.431945 -0.17164
41100 0.708193 0.800602
41200 1.16138 -0.0493344
41300 0.497108 -1.92134
41400 -0.220071 -0.943974
41500 0.192714 1.08534
41600 1.08614 0.123535
41700 0.472108 -0.67751
41800 -0.673861 -0.121842
41900 -0.402824 -0.792161
42000 0.430205 -0.812903
