# Time-averaged data for fix myat2
# TimeStep v_myvol v_mylx v_myly v_mylz
309000 7543.17 13.8284 19.1114 28.5423
310000 7534.22 13.8172 19.1138 28.5281
311000 7543.37 13.8295 19.1075 28.5466
312000 7538.18 13.8225 19.1185 28.525
313000 7541.42 13.828 19.1119 28.5358
314000 7540.51 13.8216 19.1147 28.5413
315000 7539.88 13.8278 19.1134 28.5282
316000 7545.1 13.8277 19.1188 28.5401
317000 7551.26 13.8299 19.1211 28.5555
318000 7536.91 13.8272 19.1086 28.5254
319000 7543.28 13.8271 19.1076 28.5512
320000 7539.6 13.8279 19.1041 28.5408
321000 7542.99 13.8311 19.1142 28.5321
322000 7545.33 13.8271 19.1128 28.5512
323000 7538.68 13.8269 19.1026 28.5418
324000 7541.64 13.8212 19.1175 28.5424
325000 7536.47 13.8308 19.1063 28.5197
326000 7541.64 13.8248 19.1127 28.5422
327000 7537.6 13.8233 19.1089 28.5357
328000 7542.75 13.8221 19.1167 28.5457
329000 7541.45 13.8255 19.1175 28.5328
330000 7537.52 13.8264 19.1011 28.5406
331000 7533.83 13.836 19.0854 28.5303
332000 7532.98 13.8264 19.0922 28.5367
333000 7529.74 13.8266 19.0905 28.5265
334000 7534.67 13.8336 19.0882 28.5342
335000 7529.34 13.8299 19.0814 28.5317
336000 7535.16 13.8311 19.0891 28.5399
337000 7529.86 13.8286 19.0851 28.5308
338000 7532.79 13.8291 19.0943 28.5275
339000 7537.17 13.8314 19.0973 28.5345
340000 7533.55 13.8355 19.0826 28.5344
341000 7530.93 13.8271 19.094 28.5249
342000 7538.72 13.8332 19.0954 28.5395
343000 7533.24 13.8282 19.0867 28.5423
344000 7528.06 13.8322 19.0824 28.5206
345000 7536.88 13.835 19.0966 28.527
346000 7534.08 13.8305 19.0865 28.5409
347000 7534.72 13.8295 19.0884 28.5424
348000 7537.06 13.8295 19.0952 28.541
349000 7541.14 13.8311 19.107 28.5357
350000 7544.6 13.8293 19.1037 28.5576
